contract_address,decimals,name,token_symbol,total_supply
0xf938424f7210f31df2aee3011291b658f872e91e,18,VISOR,VISR,100000000000000000000000000
0x3a84ad5d16adbe566baa6b3dafe39db3d5e261e5,18,vVISR,vVISR,439956631799016514370236031
