node,importance
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0.1763220327219129
0x34a17418cec67b82d08cf77a987941f99dc87c6b,0.10553016852065958
0xa160cdab225685da1d56aa342ad8841c3b53f291,0.15579563181983624
0x2b5634c42055806a59e9107ed44d43c426e58258,0.0844387185164787
0x689c56aef474df92d44a1b70850f808488f9769c,0.023748506811139415
0x23156749a0acefc8f07b9954d181d50084c1519e,0.0014860988566101454
0x54459d826a727393134c929ad1f4bc1e16f6f021,0.001249601418312357
0xbe5e1ba665d397d5304f0f546cead0a1e44f242d,0.001111057550106709
0x1a98fcebebfea4ffbd0d5bf5e4650d71344f52ab,0.001111297657904004
0xf519e276958c3ef2dffd9b6b2d87d26859526505,0.0010149341228449771
0x978aad63fe35f7a72573c411c3dff53608aaeac9,0.0009722801340544599
0x905b63fff465b9ffbf41dea908ceb12478ec7601,0.0008891093791766433
