address_from,address_to,block_number,gas,gas_used,input,output,timestamp,trace_id,trace_type,transaction_hash,value
0xe0b94a7bb45dd905c79bb1992c9879f40f1caed5,0xce0e9e7a1163badb7ee79cfe96b5148e178cab73,11541219,270274,1279,0x70a08231000000000000000000000000e0b94a7bb45dd905c79bb1992c9879f40f1caed5,0x0000000000000000000000000000000000000000000118fa4f162076887428e7,-1,1_0,STATICCALL,0xadf27f5dd052482d46fdf69a5208a27cc7352522c7c19bbde5aee18f6ea4373b,-1
0xe0b94a7bb45dd905c79bb1992c9879f40f1caed5,0x5d8d9f5b96f4438195be9b99eee6118ed4304286,11541219,232128,16719,0x40c10f19000000000000000000000000f05ca010d0bd620cc7c8e96e00855dde2c2943df00000000000000000000000000000000000000000000002624fadcce7cba7665,,-1,1_1,CALL,0xadf27f5dd052482d46fdf69a5208a27cc7352522c7c19bbde5aee18f6ea4373b,0
0xe0b94a7bb45dd905c79bb1992c9879f40f1caed5,0xce0e9e7a1163badb7ee79cfe96b5148e178cab73,11541219,191867,1279,0x70a08231000000000000000000000000e0b94a7bb45dd905c79bb1992c9879f40f1caed5,0x0000000000000000000000000000000000000000000118fa4f162076887428e7,-1,1_2,STATICCALL,0xadf27f5dd052482d46fdf69a5208a27cc7352522c7c19bbde5aee18f6ea4373b,-1
0xe0b94a7bb45dd905c79bb1992c9879f40f1caed5,0xce0e9e7a1163badb7ee79cfe96b5148e178cab73,11541219,188214,30385,0xa9059cbb000000000000000000000000f05ca010d0bd620cc7c8e96e00855dde2c2943df0000000000000000000000000000000000000000000118fa4111e2d0715b0000,0x0000000000000000000000000000000000000000000000000000000000000001,-1,1_3,CALL,0xadf27f5dd052482d46fdf69a5208a27cc7352522c7c19bbde5aee18f6ea4373b,0
0xe0b94a7bb45dd905c79bb1992c9879f40f1caed5,0xce0e9e7a1163badb7ee79cfe96b5148e178cab73,11541196,367839,1279,0x70a08231000000000000000000000000f05ca010d0bd620cc7c8e96e00855dde2c2943df,0x0000000000000000000000000000000000000000000118fa4f162076887428e7,-1,1_0,STATICCALL,0xd721b0ef2886f14b75548b70d2d1fd82bea085ca24f5de29b833a64cfd8f7a50,-1
0xe0b94a7bb45dd905c79bb1992c9879f40f1caed5,0xce0e9e7a1163badb7ee79cfe96b5148e178cab73,11541196,364035,1279,0x70a08231000000000000000000000000e0b94a7bb45dd905c79bb1992c9879f40f1caed5,0x0000000000000000000000000000000000000000000000000de0b6b3a7636ed2,-1,1_1,STATICCALL,0xd721b0ef2886f14b75548b70d2d1fd82bea085ca24f5de29b833a64cfd8f7a50,-1
0xe0b94a7bb45dd905c79bb1992c9879f40f1caed5,0xce0e9e7a1163badb7ee79cfe96b5148e178cab73,11541196,282995,25627,0x23b872dd000000000000000000000000f05ca010d0bd620cc7c8e96e00855dde2c2943df000000000000000000000000e0b94a7bb45dd905c79bb1992c9879f40f1caed50000000000000000000000000000000000000000000118fa4f162076887428e7,0x0000000000000000000000000000000000000000000000000000000000000001,-1,1_2,CALL,0xd721b0ef2886f14b75548b70d2d1fd82bea085ca24f5de29b833a64cfd8f7a50,0
