node,type,status
0x51841D9AFe10fE55571bDB8f4Af1060415003528,address,N/A
0xE11fc0B43ab98Eb91e9836129d1ee7c3Bc95df50,address,N/A
0xE5350E927B904FdB4d2AF55C566E269BB3df1941,address,N/A
0xe2Bb94210B41Ce4c01B9B97f3Ac62E728E472f9C,address,N/A
